threshold,tp17,fp17,fn17,tn17,tp19,fp19,fn19,tn19,prec17,rec17,prec19,rec19,f117,f119,tpr17,fpr17,tpr19,fpr19
0.88,0.0,0.0,860.0,2908.0,683.0,0.0,177.0,2908.0,0.0,0.0,1.0,0.7941860465116279,0.0,0.8852883992222943,0.0,0.0,0.7941860465116279,0.0
0.89,0.0,0.0,860.0,2908.0,683.0,0.0,177.0,2908.0,0.0,0.0,1.0,0.7941860465116279,0.0,0.8852883992222943,0.0,0.0,0.7941860465116279,0.0
0.9,0.0,0.0,860.0,2908.0,683.0,0.0,177.0,2908.0,0.0,0.0,1.0,0.7941860465116279,0.0,0.8852883992222943,0.0,0.0,0.7941860465116279,0.0
0.91,0.0,0.0,860.0,2908.0,683.0,0.0,177.0,2908.0,0.0,0.0,1.0,0.7941860465116279,0.0,0.8852883992222943,0.0,0.0,0.7941860465116279,0.0
0.92,0.0,0.0,860.0,2908.0,683.0,0.0,177.0,2908.0,0.0,0.0,1.0,0.7941860465116279,0.0,0.8852883992222943,0.0,0.0,0.7941860465116279,0.0
0.93,0.0,0.0,860.0,2908.0,682.0,0.0,178.0,2908.0,0.0,0.0,1.0,0.7930232558139535,0.0,0.8845654993514916,0.0,0.0,0.7930232558139535,0.0
0.9400000000000001,0.0,0.0,860.0,2908.0,681.0,0.0,179.0,2908.0,0.0,0.0,1.0,0.791860465116279,0.0,0.8838416612589227,0.0,0.0,0.791860465116279,0.0
0.9500000000000001,0.0,0.0,860.0,2908.0,679.0,0.0,181.0,2908.0,0.0,0.0,1.0,0.7895348837209303,0.0,0.8823911630929174,0.0,0.0,0.7895348837209303,0.0
0.96,0.0,0.0,860.0,2908.0,679.0,0.0,181.0,2908.0,0.0,0.0,1.0,0.7895348837209303,0.0,0.8823911630929174,0.0,0.0,0.7895348837209303,0.0
0.97,0.0,0.0,860.0,2908.0,679.0,0.0,181.0,2908.0,0.0,0.0,1.0,0.7895348837209303,0.0,0.8823911630929174,0.0,0.0,0.7895348837209303,0.0
0.98,0.0,0.0,860.0,2908.0,679.0,0.0,181.0,2908.0,0.0,0.0,1.0,0.7895348837209303,0.0,0.8823911630929174,0.0,0.0,0.7895348837209303,0.0
0.99,0.0,0.0,860.0,2908.0,677.0,0.0,183.0,2908.0,0.0,0.0,1.0,0.7872093023255814,0.0,0.8809368900455433,0.0,0.0,0.7872093023255814,0.0
1.0,0.0,0.0,860.0,2908.0,643.0,0.0,217.0,2908.0,0.0,0.0,1.0,0.7476744186046511,0.0,0.8556220891550232,0.0,0.0,0.7476744186046511,0.0
